split,seq,total_frames,avg_processing_fps,total_tracks_created
Train,deer_1,329,71.2151512680589,35
Train,deer_2,318,45.2027403843384,99
Train,deer_3,307,56.17374777692617,52
Train,deer_4,321,71.60107150733594,33
Train,deer_7,303,55.99257740683218,52
Train,horse_3,1434,64.47363638704378,158
Train,horse_4,206,55.827437538840556,22
Train,horse_5,325,56.97088725124871,41
Train,horse_6,315,43.95424825838039,89
Train,horse_7,1315,70.75977570133745,47
Train,pig_1,315,66.73935762688568,77
Train,pig_2,312,27.627468647297373,177
Train,pig_3,312,48.627824417749935,50
Train,pig_5,318,46.16516359213573,86
Test,deer_5,269,73.44198535831052,23
Test,deer_6,305,33.13030157248302,106
Test,horse_1,284,45.42292551010221,142
Test,horse_2,310,67.4893261501639,67
Test,pig_4,274,60.076069846236756,57
