split,seq,gt,pred,matches,FP,FN,IDsw,MOTA,precision,recall,avg_track_duration_pct,mostly_tracked,mostly_lost,total_objects
Train,deer_1,2412,2259,2202,57,210,78,0.8569651741886546,0.9747675958500366,0.9129353230045874,90.77517981105166,7,0,8
Train,deer_2,7214,7247,6899,348,315,78,0.8972830607295144,0.951980129577483,0.956334904220081,94.96135870140684,41,0,44
Train,deer_3,4861,4787,4676,111,185,23,0.9343756428853373,0.976812199503486,0.961941987047533,94.2926937247321,23,0,26
Train,deer_4,2462,2572,2408,164,54,17,0.9045491470737006,0.9362363915488973,0.9780666121128894,97.87185173451607,10,0,10
Train,deer_7,4989,5114,4902,212,87,23,0.9354580076296938,0.9585451699338002,0.9825616354013706,92.46243070810384,23,1,27
Train,horse_3,15930,16093,15408,685,522,94,0.9183301946065079,0.9574349095285257,0.9672316383573615,94.07134149187917,62,1,68
Train,horse_4,3731,3722,3694,28,37,1,0.9823103725590162,0.992477162549039,0.9900830873786967,96.9372068785826,18,0,20
Train,horse_5,5603,5473,5393,80,210,19,0.9448509727030429,0.9853827880531001,0.9625200783575727,96.40019635098217,19,0,20
Train,horse_6,7879,7890,7699,191,180,71,0.9439015103510723,0.9757921418281632,0.9771544611020238,96.80802803564573,28,0,29
Train,horse_7,10091,10041,9857,184,234,44,0.9542166286835579,0.9816751318612015,0.9768110196237428,95.0056711628848,17,0,19
Train,pig_1,2623,2841,2543,298,80,76,0.8269157453957622,0.8951073562495223,0.9695005714946624,95.85422812037774,17,0,18
Train,pig_2,10854,11865,10616,1249,238,117,0.8522203795971789,0.8947324061614216,0.9780725998730355,97.01240330841819,55,0,57
Train,pig_3,6761,6934,6696,238,65,16,0.952817630535007,0.9656763771321493,0.9903860374219219,98.66278817216109,24,0,24
Train,pig_5,5468,5845,5194,651,274,104,0.8118141916949865,0.8886227543389866,0.9498902704919732,93.01667138171682,21,1,23
Test,deer_5,1771,413,260,153,1511,5,0.0575945798658416,0.6295399500495401,0.1468097119442068,17.48260500421133,0,5,7
Test,deer_6,14815,10345,9767,578,5048,83,0.6146473169345497,0.9441275977821046,0.6592642591522603,65.48513306023287,26,9,50
Test,horse_1,6653,5323,4854,469,1799,192,0.6302419961475663,0.9118917901724795,0.7295956710161438,69.06459558394936,25,7,50
Test,horse_2,5815,2707,2636,71,3179,68,0.42940670689090177,0.9737717026325188,0.45331040404930173,36.96825382285632,4,11,37
Test,pig_4,6567,3602,3329,273,3238,32,0.46048423946086736,0.9242087726473601,0.5069285822282734,51.75941362400351,10,8,29
